x1,x2,class
0.017990572,-2.066001132,0
-0.197141243,-3.602735165,0
-0.471698748,-2.899493862,0
0.475803889,-2.48072985,0
-0.452284688,-3.114565944,0
-0.320211948,-2.948555011,0
-0.658493097,-3.40893939,0
-0.648649483,-3.535995689,0
0.056264022,-3.359085305,0
0.008799145,-3.96725906,0
-0.275802009,-3.505832498,0
-0.278301754,-4.507719086,0
-0.087356539,-2.726068253,0
-0.799831634,-2.942552251,0
-0.032431837,-3.363300156,0
-0.390861381,-2.312278477,0
0.386340419,-2.81571845,0
-0.08591313,-3.113575667,0
0.448228858,-2.232835208,0
-0.299120276,-3.212884414,0
-0.08360908,-2.945562017,0
-0.541243104,-4.155343669,0
1.536677591,-2.766584517,0
1.446309448,-2.677811342,0
-0.236297568,-2.054616436,0
0.199965244,-3.475884904,0
0.417728043,-3.098807245,0
0.512888071,-3.202037642,0
-0.784055482,-3.449834388,0
0.381890367,-2.597716679,0
0.056047449,-3.033668595,0
0.111988113,-2.425839733,0
-0.262775563,-3.129491376,0
0.035774708,-2.22449304,0
0.5492933,-3.760423688,0
-0.625286238,-3.658798679,0
0.449149565,-3.389949071,0
0.319050863,-2.949690472,0
0.442487136,-3.023004161,0
0.65189035,-2.938664382,0
0.448089562,-2.845721117,0
-0.045830491,-3.303553413,0
0.238081091,-3.364767579,0
0.318953558,-3.386875779,0
-0.210330557,-2.842169796,0
-0.225716061,-3.599737782,0
-0.431708419,-4.197977928,0
0.648960539,-2.881321119,0
0.601808722,-2.426553648,0
-0.315546285,-3.340124002,0
0.373585596,-2.579091682,0
-0.007845837,-3.35967609,0
0.187940573,-3.719617337,0
-0.1257137,-2.982126494,0
0.084541785,-2.712475178,0
0.79982218,-3.486436258,0
1.323141571,-2.660843708,0
0.844151109,-2.614712212,0
-0.001885757,-2.843486559,0
0.699280867,-3.452046964,0
0.315238612,-3.075443254,0
-0.454422293,-3.216989125,0
0.321546269,-2.240009155,0
0.451881163,-3.158913822,0
-0.331287235,-3.187625107,0
-0.523807188,-3.375272644,0
0.085362875,-3.280117833,0
0.181946613,-3.100173623,0
0.088652639,-1.8924195,0
-0.621605549,-3.011766255,0
-0.263290796,-3.224885008,0
-0.122908794,-3.214874618,0
0.092283372,-2.390797206,0
0.068482066,-2.950094201,0
0.273731911,-2.586681795,0
-0.631383196,-3.606897262,0
0.498161634,-2.823833947,0
0.929152467,-2.465336612,0
-0.87834629,-2.898908547,0
0.380936792,-2.553319854,0
0.584373776,-2.823838907,0
-0.430752428,-3.176180358,0
0.735089323,-2.594476645,0
-0.128775209,-3.084420731,0
-0.284025491,-2.718166525,0
-0.734842627,-2.778200526,0
0.487092816,-2.530136492,0
0.998049269,-2.763983688,0
-0.3974049,-3.145264135,0
0.004962759,-2.297310947,0
-0.351055079,-4.25958202,0
0.51347126,-2.742853942,0
-0.226022765,-2.520872622,0
0.900067178,-3.253813983,0
0.913368126,-1.919446797,0
1.043549929,-3.243481366,0
-0.182787468,-3.450089629,0
-0.017616921,-2.121761057,0
0.293755884,-2.707624128,0
-0.501003003,-2.108503938,0
0.909303539,-2.562660359,0
-0.625410322,-2.973088432,0
-0.619683989,-3.166379419,0
0.427653887,-2.542749477,0
0.182044337,-2.719748525,0
0.752264584,-1.94663307,0
0.824102033,-2.553893862,0
-0.538601121,-3.429104927,0
-0.563398751,-2.980469146,0
0.346599749,-2.872051424,0
0.089989262,-3.308363424,0
-0.862848144,-2.118401968,0
0.125777974,-3.592002634,0
0.077382891,-2.193220391,0
-1.547480191,-3.136256446,1
0.918919652,-2.085440909,0
-0.317477034,-4.081633697,0
0.547498797,-2.283010794,0
-0.190291517,-4.291717446,0
1.063836341,-1.921845621,0
-0.537853212,-3.050283148,0
-0.542328671,-2.696914943,0
0.599124449,-2.599340521,0
-0.054713306,-3.136570948,0
-0.213383632,-3.2675157,0
0.156516688,-1.850465154,0
0.373221321,-2.588323751,0
0.059160731,-3.254715398,0
0.636571932,-2.619991582,0
0.554175701,-2.901021814,0
0.902891277,-3.429028034,0
0.673492085,-2.445683376,0
-0.07488688,-3.124402912,0
-1.469947458,-2.803274635,1
0.202249082,-2.653784472,0
0.056353251,-2.97262154,0
-0.481009176,-3.019355089,0
-0.237584699,-2.375070795,0
-0.019176141,-3.153915545,0
0.206846007,-2.650125968,0
0.786353558,-2.045997675,0
0.081086642,-3.861601186,0
-0.926314294,-4.022419165,0
-0.27777897,-3.013855225,0
-0.48555459,-1.91692246,0
0.647518934,-1.796787312,0
0.186335411,-3.638829113,0
0.377242766,-2.243923511,0
-0.702994072,-3.560798483,0
-0.731617661,-3.749264691,0
0.575842316,-3.803905487,0
0.140189725,-2.782537239,0
-0.186520293,-2.647551896,0
-0.013032535,-2.850036674,0
-0.437260155,-3.316996807,0
-0.7674873,-2.60449005,0
0.894714005,-2.685773188,0
1.252623971,-2.686468617,0
-0.217004631,-3.200567846,0
0.606117601,-2.864778269,0
0.730411633,-3.31251913,0
0.429304606,-3.054353794,0
0.314760055,-2.706703888,0
-0.003997513,-3.0232676,0
-0.933606188,-2.6138975,0
-0.968180504,-3.550463218,0
0.318861339,-3.351390372,0
