x1,x2,class
0,0,0
0,0.5,0
0,1,0
0,1.5,0
0,2,0
0,2.5,0
0,3,0
0,3.5,0
0,4,0
0.5,0,0
0.5,0.5,0
0.5,1,0
0.5,1.5,0
0.5,2,0
0.5,2.5,0
0.5,3,0
0.5,3.5,0
0.5,4,0
1,0,0
1,0.5,0
1,1,0
1,1.5,0
1,2,0
1,2.5,0
1,3,0
1,3.5,0
1,4,0
1.5,0,0
1.5,0.5,0
1.5,1,0
1.5,1.5,0
1.5,2,0
1.5,2.5,0
1.5,3,0
1.5,3.5,0
1.5,4,0
2,0,0
2,0.5,0
2,1,0
2,1.5,0
2,2,0
2,2.5,0
2,3,0
2,3.5,0
2,4,0
2.5,0,0
2.5,0.5,0
2.5,1,0
2.5,1.5,0
2.5,2,0
2.5,2.5,0
2.5,3,0
2.5,3.5,0
2.5,4,0
3,0,0
3,0.5,0
3,1,0
3,1.5,0
3,2,0
3,2.5,0
3,3,0
3,3.5,0
3,4,0
3.5,0,0
3.5,0.5,0
3.5,1,0
3.5,1.5,0
3.5,2,0
3.5,2.5,0
3.5,3,0
3.5,3.5,0
3.5,4,0
4,0,0
4,0.5,0
4,1,0
4,1.5,0
4,2,0
4,2.5,0
4,3,0
4,3.5,0
4,4,0
4.5,0,0
4.5,0.5,0
4.5,1,0
4.5,1.5,0
4.5,2,0
4.5,2.5,0
4.5,3,0
4.5,3.5,0
4.5,4,0
5,0,0
5,0.5,0
5,1,0
5,1.5,0
5,2,0
5,2.5,0
5,3,0
5,3.5,0
5,4,0
5.5,0,0
5.5,0.5,0
5.5,1,0
5.5,1.5,0
5.5,2,0
5.5,2.5,0
5.5,3,0
5.5,3.5,0
5.5,4,0
6,0,0
6,0.5,0
6,1,0
6,1.5,0
6,2,0
6,2.5,0
6,3,0
6,3.5,0
6,4,0
6.5,0,0
6.5,0.5,0
6.5,1,0
6.5,1.5,0
6.5,2,0
6.5,2.5,0
6.5,3,0
6.5,3.5,0
6.5,4,0
7,0,0
7,0.5,0
7,1,0
7,1.5,0
7,2,0
7,2.5,0
7,3,0
7,3.5,0
7,4,0
7.5,0,0
7.5,0.5,0
7.5,1,0
7.5,1.5,0
7.5,2,0
7.5,2.5,0
7.5,3,0
7.5,3.5,0
7.5,4,0
8,0,0
8,0.5,0
8,1,0
8,1.5,0
8,2,0
8,2.5,0
8,3,0
8,3.5,0
8,4,0
8.5,0,0
8.5,0.5,0
8.5,1,0
8.5,1.5,0
8.5,2,0
8.5,2.5,0
8.5,3,0
8.5,3.5,0
8.5,4,0
9,0,0
9,0.5,0
9,1,0
9,1.5,0
9,2,0
9,2.5,0
9,3,0
9,3.5,0
9,4,0
9.5,0,0
9.5,0.5,0
9.5,1,0
9.5,1.5,0
9.5,2,0
9.5,2.5,0
9.5,3,0
9.5,3.5,0
9.5,4,0
10,0,0
10,0.5,0
10,1,0
10,1.5,0
10,2,0
10,2.5,0
10,3,0
10,3.5,0
10,4,0
0,6,0
0,6.1,0
0,6.2,0
0,6.3,0
0,6.4,0
0,6.5,0
0,6.6,0
0,6.7,0
0,6.8,0
0,6.9,0
0,7,0
0,7.1,0
0,7.2,0
0,7.3,0
0,7.4,0
0,7.5,0
0,7.6,0
0,7.7,0
0,7.8,0
0,7.9,0
0,8,0
0.1,6,0
0.1,6.1,0
0.1,6.2,0
0.1,6.3,0
0.1,6.4,0
0.1,6.5,0
0.1,6.6,0
0.1,6.7,0
0.1,6.8,0
0.1,6.9,0
0.1,7,0
0.1,7.1,0
0.1,7.2,0
0.1,7.3,0
0.1,7.4,0
0.1,7.5,0
0.1,7.6,0
0.1,7.7,0
0.1,7.8,0
0.1,7.9,0
0.1,8,0
0.2,6,0
0.2,6.1,0
0.2,6.2,0
0.2,6.3,0
0.2,6.4,0
0.2,6.5,0
0.2,6.6,0
0.2,6.7,0
0.2,6.8,0
0.2,6.9,0
0.2,7,0
0.2,7.1,0
0.2,7.2,0
0.2,7.3,0
0.2,7.4,0
0.2,7.5,0
0.2,7.6,0
0.2,7.7,0
0.2,7.8,0
0.2,7.9,0
0.2,8,0
0.3,6,0
0.3,6.1,0
0.3,6.2,0
0.3,6.3,0
0.3,6.4,0
0.3,6.5,0
0.3,6.6,0
0.3,6.7,0
0.3,6.8,0
0.3,6.9,0
0.3,7,0
0.3,7.1,0
0.3,7.2,0
0.3,7.3,0
0.3,7.4,0
0.3,7.5,0
0.3,7.6,0
0.3,7.7,0
0.3,7.8,0
0.3,7.9,0
0.3,8,0
0.4,6,0
0.4,6.1,0
0.4,6.2,0
0.4,6.3,0
0.4,6.4,0
0.4,6.5,0
0.4,6.6,0
0.4,6.7,0
0.4,6.8,0
0.4,6.9,0
0.4,7,0
0.4,7.1,0
0.4,7.2,0
0.4,7.3,0
0.4,7.4,0
0.4,7.5,0
0.4,7.6,0
0.4,7.7,0
0.4,7.8,0
0.4,7.9,0
0.4,8,0
0.5,6,0
0.5,6.1,0
0.5,6.2,0
0.5,6.3,0
0.5,6.4,0
0.5,6.5,0
0.5,6.6,0
0.5,6.7,0
0.5,6.8,0
0.5,6.9,0
0.5,7,0
0.5,7.1,0
0.5,7.2,0
0.5,7.3,0
0.5,7.4,0
0.5,7.5,0
0.5,7.6,0
0.5,7.7,0
0.5,7.8,0
0.5,7.9,0
0.5,8,0
0.6,6,0
0.6,6.1,0
0.6,6.2,0
