"x1","x2","CLASS"
0.01878563,1.070908558,0
-0.098940319,1.020264143,0
-0.033342369,1.095862654,0
-0.963206671,1.004037873,0
0.264127051,1.070605062,0
0.717229382,0.939431604,0
0.502638115,0.982528563,0
-0.742936198,0.980661492,0
0.224216183,0.957161465,0
-0.404184384,1.01983148,0
-0.41898819,0.987068192,0
-0.407782262,0.965798218,0
0.926650673,1.1020756,0
-0.811190445,0.983597917,0
-0.014250556,0.969982061,0
-0.074978888,1.054276015,0
0.321317213,0.942761166,0
0.923165057,0.97930024,0
-0.780988127,0.939969619,0
-0.308684388,1.019939418,0
-0.636627752,0.937557401,0
0.158790492,0.928923468,0
0.074192786,1.003923459,0
0.097215061,1.069825788,0
0.824553339,1.078559353,0
0.72147904,0.94583002,0
0.899170808,0.972699842,0
0.316118772,0.892038841,0
0.955172223,0.967369614,0
-0.001865071,1.019418232,0
0.561174712,0.987943489,0
0.67738517,1.067229686,0
-0.507549111,1.023383051,0
0.296076483,0.945730591,0
-0.145093656,1.003778879,0
0.960669982,0.973788902,0
-0.713380698,1.022570955,0
0.027197944,0.978113649,0
0.178591807,0.996925058,0
0.793392222,0.923465045,0
0.505491319,1.031604432,0
0.893132793,1.070213373,0
0.654607096,0.925655151,0
0.222224759,0.971402117,0
-0.791481929,0.944301129,0
-0.957510192,1.029900501,0
-0.034855944,0.932770397,0
-0.548512933,0.999698177,0
-0.800776062,1.001080054,0
0.003049476,0.969710616,0
0.135210408,-0.971545151,0
0.564948699,-0.954016993,0
0.249047596,-0.976123532,0
0.876971573,-0.946273699,0
-0.629008829,-1.021681953,0
-0.500653811,-0.974615354,0
-0.872818623,-0.948317703,0
-0.269269402,-0.96961588,0
0.728937177,-0.947971369,0
-0.533778577,-0.994278432,0
-0.225789305,-1.016883524,0
-0.991966651,-1.099856032,0
-0.175396119,-0.961031765,0
-0.842435327,-0.98101406,0
-0.354104842,-1.053441921,0
0.225536177,-1.08448196,0
-0.709925404,-1.066923887,0
-0.968470931,-1.03026481,0
0.034479968,-1.009658316,0
0.244476194,-0.945835831,0
-0.531971541,-0.989245096,0
-0.728855928,-1.004609354,0
-0.282106994,-0.962923355,0
0.480716948,-1.046280751,0
0.699330387,-1.069991455,0
-0.336062932,-1.047381361,0
0.27848881,-0.990977794,0
-0.93652354,-1.033101526,0
0.321366328,-0.940485794,0
-0.298300966,-0.945642597,0
-0.499675888,-0.980977183,0
0.991148045,-0.91604801,0
-0.471895825,-0.989906427,0
0.672480121,-0.996675231,0
-0.957393739,-1.041742973,0
-0.049053656,-0.958232878,0
0.988406972,-0.990981407,0
-0.000497479,-0.989227302,0
0.429147874,-0.993044042,0
0.25192485,-0.997899209,0
-0.905712799,-1.043366971,0
-0.424082937,-0.999258687,0
0.965637418,-0.972761008,0
-0.705775295,-0.979761874,0
-0.461499933,-1.051161716,0
-0.31659726,-0.995466996,0
